,time,user,tweet
34,2022-08-04 07:24:38+00:00,atiku,"You are an accomplished business personality. Your strides in making valuable inputs into our economy, especially in providing employment for our people, are commendable. As an entrepreneur, you have demonstrated that success can be achieved by dint of hard work."
35,2022-08-04 07:24:38+00:00,atiku,"I congratulate my brother, Alhaji Abdul Samad Rabiu, CON, the Founder/Chairman of the @BUAgroup, on the occasion of his 62nd birthday anniversary. https://t.co/X6nSQ3xD0i"
36,2022-08-03 18:59:53+00:00,atiku,"We discussed, among other things, what Nigeria can learn from countries like the United States to improve the ease of doing business in our country. -AA"
37,2022-08-03 18:59:51+00:00,atiku,"Franklin Olakunle Amoo, @FranklinAmoo, a young Nigerian-American recently appointed into President Biden’s Advisory Council on Doing Business in Africa (PAC-DBIA), paid me a courtesy visit. https://t.co/XALeD3RhpH"
38,2022-08-03 16:53:33+00:00,atiku,"Earlier today, I met with members of the @OfficialPDPNig New Generation. We had an extensive discussion about the future of our country &amp; how we can achieve much more when we stand together as one people with one future, and the roles expected of young people in that process.-AA https://t.co/T860XJ7n3w"
39,2022-08-03 13:42:29+00:00,atiku,We must become more innovative in how we use and conserve our environment to stem the danger. -AA
40,2022-08-03 13:42:28+00:00,atiku,The heavy downpour that has led to this flooding and others with the attendant destructions to lives and properties in different parts of the country in recent times is a confirmation of the dangers we face from the threats of climate change.
41,2022-08-03 13:42:27+00:00,atiku,"My prayers and thoughts are with the families that have lost dear ones and of communities with thousands displaced in Dutse, Hadejia, Gwaram, Kafin Hausa, Kirikasamma, Guri, Auyo and Jahun local government areas of Jigawa State following flooding occasioned by heavy rainfall."
42,2022-08-03 07:41:39+00:00,atiku,Hello. Welcome on board. -AA https://t.co/OnBit7r5VM
43,2022-08-02 19:53:17+00:00,atiku,"When we catch them young, by providing them with all the requisite infrastructure and opportunity, they'll blossom to conquer the world. Congratulations, Iyene, for making Nigeria 🇳🇬 proud. -AA"
44,2022-08-02 19:53:16+00:00,atiku,"Sixteen-year-old @IyeneE’s accomplishments at the Champion of Champions World Golf Championship Invitational in Northern Ireland, where she came 2nd, confirms the necessity of teeing off our talents early in life. https://t.co/t49albGWBE"
45,2022-08-02 19:28:55+00:00,atiku,"Your Excellency, on behalf of my family, accept my good wishes on the occasion of your 68th birthday. -AA"
46,2022-08-02 19:28:54+00:00,atiku,"Former Vice President Namadi Sambo has had an illustrious career in the private and public service. Even after sterling services as Kaduna State Governor and as our country’s Vice President, he continues to be deeply engaged in promoting education as a catalyst for change. https://t.co/ntVdIduFbk"
47,2022-08-01 15:25:19+00:00,atiku,"We discussed a wide range of issues from economy to education, security, electoral reforms and improved collaboration between the UK and the Nigerian governments on finding lasting diplomatic common ground on issues that mutually benefit both countries. -AA"
48,2022-08-01 15:25:18+00:00,atiku,"It was my pleasure hosting a delegation of the British High Commission in Nigeria led by the High Commissioner, H.E @CatrionaLaing1. https://t.co/1KZmgiJBC4"
49,2022-08-01 15:23:53+00:00,atiku,"RT @CatrionaLaing1: Good to meet the PDP Presidential Candidate, Atiku Abubakar @atiku today. 

Interesting to hear his ideas on the econom…"
50,2022-07-31 07:24:19+00:00,atiku,I also urged the need to remain determined in the objectives of the New Generation. -AA
51,2022-07-31 07:24:18+00:00,atiku,"It was an honour to unveil “Operation Rescue Nigeria 2.0” under the aegis of the PDP New Generation. I shared the importance of building bridges across this great country, Nigeria, from the North to the South, East and West, so that we might have a united Nigeria. https://t.co/g3cqSw7EEF"
52,2022-07-30 21:32:22+00:00,atiku,and the Bayelsa State Traditional Rulers Council and the people and Government of Bayelsa State in wishing him more years in good health and service to his people and humanity. -AA
53,2022-07-30 21:32:21+00:00,atiku,"Under his watch, peace, unity and stability has thrived with the traditional institution as its fulcrum. And as he berths at 80 years, my family and I join his family and friends, the traditional institution of Twon-Brass Kingdom"
